<<<<<<< HEAD:src/main/resources/tarkov_ammo_chart.csv
Ammo Type,Round,Damage,Pen Value,Armor Damage %,Frag. Chance*,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6
=======
Caliber,Round,Damage,Pen Value,Armor Damage %,Frag. Chance*,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6
>>>>>>> master:chart/tarkov_ammo_chart.csv
12x70,buckshot,32,3,26,0%,4,3,3,3,3,3
12x70,RIP,235,0,0,100%,0,0,0,0,0,0
12x70,slug,165,21,65,100%,6,6,4,3,1,0
20x70,buckshot,20,3,23,0%,4,3,3,3,3,3
9x18pm,SP8 gzh,67,3,40,2%,1,0,0,0,0,0
9x18pm,PPEgzh,58,5,23,35%,3,0,0,0,0,0
9x18pm,PRS gs,56,5,23,30%,3,0,0,0,0,0
9x18pm,PSO gzh,54,5,23,35%,3,0,0,0,0,0
9x18pm,PSV,62,5,29,2%,3,0,0,0,0,0
9x18pm,P gzh,53,5,24,25%,3,0,0,0,0,0
9x18pm,PS gs PPO,53,6,24,25%,4,0,0,0,0,0
9x18pm,PPT gzh,53,6,24,17%,4,0,0,0,0,0
9x18pm,SP7 gzh,70,6,38,2%,4,0,0,0,0,0
9x18pm,RG028 gzh,51,7,26,0%,5,0,0,0,0,0
9x18pm,PST gzh,49,7,26,20%,5,0,0,0,0,0
9x18pm,BZT gzh,44,8,26,17%,5,0,0,0,0,0
9x18pm,PBM,39,8,26,16%,5,0,0,0,0,0
9x18pm,PMM,59,8,26,17%,5,0,0,0,0,0
9x19,RIP,102,2,11,100%,1,0,0,0,0,0
9x19,luger cci,70,10,38,25%,5,1,0,0,0,0
9x19,PSO gzh,63,13,32,25%,6,2,0,0,0,0
9x19, Green Tracer,58,16,33,15%,6,3,1,0,0,0
9x19,PST gzh,56,18,33,15%,6,5,1,0,0,0
9x19,AP 6.3,52,25,48,5%,6,6,4,2,0,0
7.62x25tt,LRNPC,66,5,27,35%,2,0,0,0,0,0
7.62x25tt,LRN,64,6,28,35%,3,0,0,0,0,0
7.62x25tt,FMJ43,60,8,29,25%,4,0,0,0,0,0
7.62x25tt,akbs,58,9,32,25%,5,1,0,0,0,0
7.62x25tt,P Gl,58,10,32,25%,6,1,0,0,0,0
7.62x25tt,T Gzh,60,12,34,17%,6,1,0,0,0,0
7.62x25tt,Pst gzh,50,19,36,20%,6,5,1,0,0,0
9x21,sp12,72,10,63,35%,5,2,0,0,0,0
9x21,sp11,66,12,44,30%,6,2,0,0,0,0
9x21,sp10,45,28,46,20%,6,6,5,3,1,0
9x21,sp13,58,30,47,20%,6,6,6,3,1,0
.366 TKM,Geksa,77,14,38,45%,6,4,1,0,0,0
.366 TKM,FMJ,71,20,36,25%,6,6,2,0,0,0
.366 TKM,EKO,65,26,38,20%,6,6,4,2,0,0
9x39,sp5,68,30,52,20%,6,6,6,4,2,1
9x39,sp6,58,38,60,10%,6,6,6,5,4,2
9x39,7n9 SPP,67,38,56,20%,6,6,6,5,4,2
9x39,7n12 BP,60,44,68,10%,6,6,6,6,5,4
5.45x39,SP,68,11,34,45%,6,1,0,0,0,0
5.45x39,HP,73,11,32,35%,6,1,0,0,0,0
5.45x39,US,65,15,34,10%,6,4,0,0,0,0
5.45x39,PRS,60,14,34,30%,6,3,0,0,0,0
5.45x39,FMJ,54,18,44,25%,6,5,1,0,0,0
5.45x39,T,57,20,38,16%,6,6,1,0,0,0
5.45x39,PS,50,23,47,40%,6,6,3,2,1,0
5.45x39,PP,46,27,50,17%,6,6,5,3,1,0
5.45x39,BP,42,32,38,16%,6,6,6,4,2,0
5.45x39,BT,44,33,52,16%,6,6,6,5,3,1
5.45x39,BS,40,50,57,17%,6,6,6,6,6,5
5.45x39,7n39,37,62,60,2%,6,6,6,6,6,6
5.56x45,Warmage,83,3,26,90%,2,0,0,0,0,0
5.56x45,55 HP,72,9,38,70%,5,1,0,0,0,0
5.56x45,MK 255 Mod 0,60,17,32,3%,6,4,1,0,0,0
5.56x45,55 FMJ,52,24,45,50%,6,6,3,2,1,0
5.56x45,M855,50,26,40,40%,6,6,4,2,1,0
5.56x45,M856,55,23,38,33%,6,6,3,2,1,0
5.56x45,M855A1,57,31,42,34%,6,6,6,4,2,1
5.56x45,M856A1,56,34,45,33%,6,6,6,5,3,1
5.56x45,M995,42,53,57,32%,6,6,6,6,6,5
7.62x39,HP,76,15,45,26%,6,4,1,1,0,0
7.62x39,US,68,19,41,8%,6,5,1,1,0,0
7.62x39,T45M,58,26,48,12%,6,6,5,2,1,0
7.62x39,PS,57,33,50,25%,6,6,6,5,3,2
7.62x39,BP,50,45,65,12%,6,6,6,6,5,4
7.62x51,M80,80,45,66,17%,6,6,6,6,5,4
7.62x51,M62,79,54,75,14%,6,6,6,6,6,5
7.62x51,M61,70,68,83,13%,6,6,6,6,6,6
7.62x54R,LPS Gzh,81,42,78,18%,6,6,6,6,4,4
7.62x54R,7N1,86,45,84,8%,6,6,6,6,5,4
7.62x54R,SNB,75,62,87,8%,6,6,6,6,6,6
4.6x30,Action SX,65,13,39,50%,6,2,1,0,0,0
4.6x30,FMJ SX,43,30,41,20%,6,6,6,3,1,1
4.6x30,Subsonic SX,41,34,46,20%,6,6,6,4,3,1
4.6x30,AP SX,35,46,46,10%,6,6,6,6,5,4
